Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
8;1001768;Поступление зарплаты на счет;Лечение;1;0.42;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;1;60;36;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001788;2НДФЛ;Ремонт;1;0.38;женский;0;0;высшее;специалист;>250;0;42;45;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001808;Поступление зарплаты на счет;Отпуск;1;0.22;женский;0;0;высшее;вспомогательный персонал;>250;0;48;27;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001828;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.45;женский;0;0;высшее;вспомогательный персонал;>250;0;19;25;Торговля;ООО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
8;1001848;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.37;мужской;1;0;высшее;вспомогательный персонал;>250;1;76;36;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001868;2НДФЛ;Покупка автомобиля;0;0.14;мужской;1;0;второе высшее;менеджер среднего звена;>250;0;186;41;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001888;2НДФЛ;Ремонт;0;0.17;мужской;0;0;среднее-специальное;рабочий;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001908;2НДФЛ;Ремонт;1;0.35;женский;0;0;высшее;специалист;>250;3;44;25;Торговля;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
8;1001928;2НДФЛ;Покупка автомобиля;1;0.34;мужской;0;0;высшее;менеджер среднего звена;>250;0;69;36;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001948;Форма банка (без печати работодателя);Отпуск;1;0.1;женский;0;0;высшее;менеджер среднего звена;< 50;0;68;31;Торговля;ООО;холост / не замужем;1;0;0;0;0;0;0;0;0;0;0;0;3;107;3;0;1;59;69;0;0;0;0;0;0;0
